File,OwnerName,IsDir,IsOff,IsTen,SecTitle,TransDate,Shares,PPS,ADCode,SharesAfter,DIOwner
0001225208-13-006457,CANGIALOSI LORETTA V,0,1,0,Common Stock,2013-02-28,5589.0000,0.0000,A,238103.0000,D
0001225208-13-006457,CANGIALOSI LORETTA V,0,1,0,Common Stock,2013-02-28,5253.0000,27.3700,D,232850.0000,D
0001225208-13-006457,CANGIALOSI LORETTA V,0,1,0,Common Stock,2013-02-28,36560.0000,27.3700,D,196290.0000,D
0001225208-13-006458,DAMELIO FRANK A,0,1,0,Common Stock,2013-02-28,195985.0000,22.5500,A,676472.0000,D
0001225208-13-006458,DAMELIO FRANK A,0,1,0,Common Stock,2013-02-28,85005.0000,0.0000,A,761477.0000,D
0001225208-13-006458,DAMELIO FRANK A,0,1,0,Common Stock,2013-02-28,35395.0000,0.0000,A,796872.0000,D
0001225208-13-006458,DAMELIO FRANK A,0,1,0,Common Stock,2013-02-28,43838.0000,27.3700,D,753034.0000,D
0001225208-13-006458,DAMELIO FRANK A,0,1,0,Common Stock,2013-02-28,168696.0000,27.3700,D,584338.0000,D
0001225208-13-006459,Dolsten Mikael,0,1,0,Common Stock,2013-02-28,63147.0000,0.0000,A,334536.0000,D
0001225208-13-006459,Dolsten Mikael,0,1,0,Common Stock,2013-02-28,33532.0000,0.0000,A,368068.0000,D
0001225208-13-006459,Dolsten Mikael,0,1,0,Common Stock,2013-02-28,32565.0000,27.3700,D,335503.0000,D
0001225208-13-006460,Germano Geno J,0,1,0,Common Stock,2013-02-28,35946.0000,0.0000,A,253790.0000,D
0001225208-13-006460,Germano Geno J,0,1,0,Common Stock,2013-02-28,27943.0000,0.0000,A,281733.0000,D
0001225208-13-006460,Germano Geno J,0,1,0,Common Stock,2013-02-28,17341.0000,27.3700,D,264392.0000,D
0001225208-13-006461,HILL CHARLES H,0,1,0,Common Stock,2013-02-28,21924.0000,22.5500,A,91817.0000,D
0001225208-13-006461,HILL CHARLES H,0,1,0,Common Stock,2013-02-28,17232.0000,0.0000,A,109049.0000,D
0001225208-13-006461,HILL CHARLES H,0,1,0,Common Stock,2013-02-28,9715.0000,0.0000,A,118764.0000,D
0001225208-13-006461,HILL CHARLES H,0,1,0,Common Stock,2013-02-28,3708.0000,27.3700,D,115056.0000,D
0001225208-13-006461,HILL CHARLES H,0,1,0,Common Stock,2013-02-28,18871.0000,27.3700,D,96185.0000,D
0001225208-13-006462,LANKLER DOUGLAS M,0,1,0,Common Stock,2013-02-28,14171.0000,0.0000,A,99036.0000,D
0001225208-13-006462,LANKLER DOUGLAS M,0,1,0,Common Stock,2013-02-28,14170.0000,22.5500,A,113206.0000,D
0001225208-13-006462,LANKLER DOUGLAS M,0,1,0,Common Stock,2013-02-28,7917.0000,0.0000,A,121123.0000,D
0001225208-13-006462,LANKLER DOUGLAS M,0,1,0,Common Stock,2013-02-28,5403.0000,27.3700,D,115720.0000,D
0001225208-13-006462,LANKLER DOUGLAS M,0,1,0,Common Stock,2013-02-28,12197.0000,27.3700,D,103523.0000,D
0001225208-13-006466,Lewis-Hall Freda C,0,1,0,Common Stock,2013-02-28,43717.0000,0.0000,A,162205.0000,D
0001225208-13-006466,Lewis-Hall Freda C,0,1,0,Common Stock,2013-02-28,17697.0000,0.0000,A,179902.0000,D
0001225208-13-006466,Lewis-Hall Freda C,0,1,0,Common Stock,2013-02-28,24403.0000,27.3700,D,155499.0000,D
0001225208-13-006474,MADDALUNA ANTHONY J,0,1,0,Common Stock,2013-02-28,19908.0000,22.5500,A,75884.0000,D
0001225208-13-006474,MADDALUNA ANTHONY J,0,1,0,Common Stock,2013-02-28,12575.0000,0.0000,A,88459.0000,D
0001225208-13-006474,MADDALUNA ANTHONY J,0,1,0,Common Stock,2013-02-28,10202.0000,0.0000,A,98661.0000,D
0001225208-13-006474,MADDALUNA ANTHONY J,0,1,0,Common Stock,2013-02-28,3772.0000,27.3700,D,94889.0000,D
0001225208-13-006474,MADDALUNA ANTHONY J,0,1,0,Common Stock,2013-02-28,16465.0000,27.3700,D,78424.0000,D
0001225208-13-006475,OLSON LAURIE J,0,1,0,Common Stock,2013-02-28,13368.0000,22.5500,A,40033.0000,D
0001225208-13-006475,OLSON LAURIE J,0,1,0,Common Stock,2013-02-28,9107.0000,0.0000,A,49140.0000,D
0001225208-13-006475,OLSON LAURIE J,0,1,0,Common Stock,2013-02-28,6520.0000,0.0000,A,55660.0000,D
0001225208-13-006475,OLSON LAURIE J,0,1,0,Common Stock,2013-02-28,3367.0000,27.3700,D,52293.0000,D
0001225208-13-006475,OLSON LAURIE J,0,1,0,Common Stock,2013-02-28,10946.0000,27.3700,D,41347.0000,D
0001225208-13-006477,READ IAN C,1,1,0,Common Stock,2013-02-28,195985.0000,22.5500,A,1139869.0000,D
0001225208-13-006477,READ IAN C,1,1,0,Common Stock,2013-02-28,109911.0000,0.0000,A,1249780.0000,D
